namespace,depth,entropy
biological_process,0,1.0
biological_process,1,4.1414460711655225
biological_process,2,7.822793856316332
biological_process,3,9.086776542731023
biological_process,4,9.219542342774691
biological_process,5,8.808932787642155
biological_process,6,8.526943467369673
biological_process,7,8.137125454285997
biological_process,8,7.742088636921895
biological_process,9,7.056277252696001
biological_process,10,6.132404529273684
biological_process,11,5.052359093241932
biological_process,12,3.6070504479244274
biological_process,13,3.1895415173391393
molecular_function,0,1.0
molecular_function,1,4.620176416504867
molecular_function,2,6.477736753368448
molecular_function,3,7.405436089482222
molecular_function,4,7.903134929977563
molecular_function,5,8.170587877849961
molecular_function,6,7.821941806070015
molecular_function,7,7.342856657926496
molecular_function,8,5.9995024269525405
molecular_function,9,5.4119193618047206
cellular_component,0,1.0
cellular_component,1,3.0
cellular_component,2,8.461226244205733
cellular_component,3,8.362056032520561
cellular_component,4,8.343458411569776
cellular_component,5,8.03580522806597
cellular_component,6,7.30731960574875
cellular_component,7,6.367641893770502
cellular_component,8,4.794671033039786
cellular_component,9,2.2516291673878226
cellular_component,10,1.584962500721156
