selection,relation_set,metric,go_id,depth,letters
namespace,is_a,shortest,GO:0000398,6.0,26.0
namespace,is_a,shortest,GO:0000409,9.0,36.0
namespace,is_a,shortest,GO:0000410,7.0,52.0
namespace,is_a,shortest,GO:0000411,7.0,44.0
namespace,is_a,shortest,GO:0000413,8.0,34.0
namespace,is_a,shortest,GO:0000422,4.0,24.0
namespace,is_a,shortest,GO:0000423,5.0,9.0
namespace,is_a,shortest,GO:0000424,5.0,14.0
namespace,is_a,shortest,GO:0000425,5.0,9.0
namespace,is_a,shortest,GO:0000426,5.0,14.0
namespace,is_a,shortest,GO:0000429,6.0,68.0
namespace,is_a,shortest,GO:0000430,7.0,61.0
namespace,is_a,shortest,GO:0000431,7.0,63.0
namespace,is_a,shortest,GO:0000432,8.0,69.0
namespace,is_a,shortest,GO:0000433,8.0,77.0
namespace,is_a,shortest,GO:0000434,8.0,79.0
namespace,is_a,shortest,GO:0000435,8.0,71.0
namespace,is_a,shortest,GO:0000436,7.0,68.0
namespace,is_a,shortest,GO:0000437,7.0,68.0
namespace,is_a,shortest,GO:0000447,7.0,113.0
namespace,is_a,shortest,GO:0000448,7.0,82.0
namespace,is_a,shortest,GO:0000449,6.0,66.0
namespace,is_a,shortest,GO:0000450,6.0,49.0
namespace,is_a,shortest,GO:0000451,7.0,16.0
namespace,is_a,shortest,GO:0000452,8.0,28.0
namespace,is_a,shortest,GO:0000454,8.0,38.0
namespace,is_a,shortest,GO:0000455,8.0,40.0
namespace,is_a,shortest,GO:0000457,7.0,90.0
namespace,is_a,shortest,GO:0000458,7.0,88.0
namespace,is_a,shortest,GO:0000460,6.0,17.0
namespace,is_a,shortest,GO:0000461,7.0,74.0
namespace,is_a,shortest,GO:0000462,7.0,68.0
namespace,is_a,shortest,GO:0000463,7.0,68.0
namespace,is_a,shortest,GO:0000464,7.0,92.0
namespace,is_a,shortest,GO:0000465,7.0,97.0
namespace,is_a,shortest,GO:0000466,7.0,66.0
namespace,is_a,shortest,GO:0000467,7.0,97.0
namespace,is_a,shortest,GO:0000468,7.0,79.0
namespace,is_a,shortest,GO:0000470,6.0,19.0
namespace,is_a,shortest,GO:0000471,7.0,75.0
namespace,is_a,shortest,GO:0000472,7.0,74.0
namespace,is_a,shortest,GO:0000473,7.0,75.0
namespace,is_a,shortest,GO:0000474,7.0,75.0
namespace,is_a,shortest,GO:0000475,6.0,17.0
namespace,is_a,shortest,GO:0000476,6.0,17.0
namespace,is_a,shortest,GO:0000477,7.0,79.0
namespace,is_a,shortest,GO:0000479,6.0,70.0
namespace,is_a,shortest,GO:0000480,7.0,75.0
namespace,is_a,shortest,GO:0000481,6.0,17.0
namespace,is_a,shortest,GO:0000482,7.0,68.0
namespace,is_a,shortest,GO:0000483,6.0,77.0
namespace,is_a,shortest,GO:0000484,7.0,84.0
namespace,is_a,shortest,GO:0000485,7.0,84.0
namespace,is_a,shortest,GO:0000486,7.0,82.0
namespace,is_a,shortest,GO:0000487,7.0,73.0
namespace,is_a,shortest,GO:0000488,7.0,75.0
namespace,is_a,shortest,GO:0000489,7.0,75.0
namespace,is_a,shortest,GO:0000491,7.0,46.0
namespace,is_a,shortest,GO:0000492,8.0,19.0
namespace,is_a,shortest,GO:0000493,8.0,21.0
namespace,is_a,shortest,GO:0000494,7.0,25.0
namespace,is_a,shortest,GO:0000495,7.0,27.0
namespace,is_a,shortest,GO:0000512,11.0,46.0
namespace,is_a,shortest,GO:0000578,4.0,26.0
namespace,is_a,shortest,GO:0000705,5.0,18.0
namespace,is_a,shortest,GO:0000706,3.0,37.0
namespace,is_a,shortest,GO:0000707,4.0,29.0
namespace,is_a,shortest,GO:0000708,4.0,21.0
namespace,is_a,shortest,GO:0000709,3.0,29.0
namespace,is_a,shortest,GO:0000710,4.0,21.0
