namespace,n_terms,max_depth,length_pearson_r,length_spearman_rho,ols_slope,entropy_peak_depth,entropy_peak_value,kw_H_k20,kw_eta2_k20
biological_process,24136,13,0.33938041267752617,0.36628949499461966,3.217849591404146,4,9.219542342774691,5243.821791440134,0.21665374819373587
molecular_function,10052,9,0.17199939494384428,0.17578013678979007,1.8683167956150046,5,8.170587877849961,1576.0947207597142,0.15521279114430964
cellular_component,4075,10,0.07139664127923781,0.0996994680061411,0.6292080632431326,2,8.461226244205733,319.2320742864615,0.07403996899789433
