namespace,k,kw_H,kw_p,eta2
biological_process,20,5243.821791440134,0.0,0.21665374819373587
molecular_function,20,1576.0947207597142,0.0,0.15521279114430964
cellular_component,20,319.2320742864615,2.253096828626326e-56,0.07403996899789433
