k,inertia,silhouette,davies_bouldin,kw_H,kw_p,eta2
10,9245.193359375,0.07393112778663635,2.979168513684216,4067.1644081798604,0.0,0.16820709641796652
15,8597.017578125,0.07897310703992844,2.739148839753678,4313.106887708827,0.0,0.17823087300314364
20,8224.880859375,0.07587192952632904,2.799050934928548,5243.821791440134,0.0,0.21665374819373587
25,7948.0419921875,0.07919517904520035,2.6904079963004386,5087.135368689026,0.0,0.2099927571933568
30,7706.31005859375,0.07977095991373062,2.6636575611896385,5584.417941198147,0.0,0.2304578918608706
35,7492.1396484375,0.08459670841693878,2.6537109439501156,5355.9283395258935,0.0,0.22081773949321162
40,7323.841796875,0.08456301689147949,2.6307041869531433,5533.777845012325,0.0,0.22803692915887802
45,7153.3642578125,0.08644669502973557,2.5883699314628563,5819.207674648201,0.0,0.2397246969676726
50,7036.27685546875,0.08402638882398605,2.6066782381975857,6126.384291353281,0.0,0.25232019809654077
